#See manifest.txt for detailed description of fields.
#Hirise_scaf_id	input_scaf_id	input_start	input_end	strand	hirise_start	hirise_end
ScXIYn4_686;HRSCAF=1109	000001F|arrow|arrow	0	48855932	-	0	48855932
ScXIYn4_282;HRSCAF=470	000001F|arrow|arrow	48855932	69597992	-	7087127	27829187
ScXIYn4_725;HRSCAF=1148	000003F|arrow|arrow	0	15177502	-	80138	15257640
ScXIYn4_726;HRSCAF=1149	000003F|arrow|arrow	15177502	58273671	-	21394236	64490405
ScXIYn4_675;HRSCAF=1098	000004F|arrow|arrow	0	31206744	+	7679722	38886466
ScXIYn4_674;HRSCAF=1097	000004F|arrow|arrow	31206744	49542891	+	0	18336147
ScXIYn4_490;HRSCAF=791	000005F|arrow|arrow	0	8404425	+	6285474	14689899
ScXIYn4_282;HRSCAF=470	000005F|arrow|arrow	8404425	15446714	+	43838	7086127
ScXIYn4_712;HRSCAF=1135	000009F|arrow|arrow	0	31194379	+	5574926	36769305
ScXIYn4_613;HRSCAF=1012	000009F|arrow|arrow	31194379	39117623	+	0	7923244
ScXIYn4_482;HRSCAF=780	000011F|arrow|arrow	0	8259328	-	0	8259328
ScXIYn4_627;HRSCAF=1042	000011F|arrow|arrow	8259328	37007981	+	0	28748653
ScXIYn4_701;HRSCAF=1124	000011F|arrow|arrow	37007981	38181162	-	0	1173181
ScXIYn4_753;HRSCAF=1176	000012F|arrow|arrow	0	3782278	+	4887009	8669287
ScXIYn4_767;HRSCAF=1190	000012F|arrow|arrow	3782278	37702109	-	73768	33993599
ScXIYn4_192;HRSCAF=310	000015F|arrow|arrow	0	1010608	+	0	1010608
ScXIYn4_719;HRSCAF=1142	000015F|arrow|arrow	1010608	34296472	-	0	33285864
ScXIYn4_257;HRSCAF=418	000020F|arrow|arrow	0	15072359	+	0	15072359
ScXIYn4_605;HRSCAF=993	000020F|arrow|arrow	15072359	29784039	+	0	14711680
ScXIYn4_590;HRSCAF=955	000025F|arrow|arrow	0	23329491	+	7282560	30612051
ScXIYn4_602;HRSCAF=988	000025F|arrow|arrow	23329491	25820628	+	0	2491137
ScXIYn4_712;HRSCAF=1135	000031F|arrow|arrow	0	3492451	-	56865	3549316
ScXIYn4_713;HRSCAF=1136	000031F|arrow|arrow	3492451	23614425	-	0	20121974
ScXIYn4_427;HRSCAF=698	000033F|arrow|arrow	0	20115757	+	0	20115757
ScXIYn4_716;HRSCAF=1139	000033F|arrow|arrow	20115757	23321148	+	0	3205391
ScXIYn4_412;HRSCAF=668	000034F|arrow|arrow	0	1747120	+	38691546	40438666
ScXIYn4_621;HRSCAF=1027	000034F|arrow|arrow	1747120	20906319	+	0	19159199
ScXIYn4_620;HRSCAF=1026	000034F|arrow|arrow	20906319	22059751	+	0	1153432
ScXIYn4_758;HRSCAF=1181	000034F|arrow|arrow	22059751	22899566	+	0	839815
ScXIYn4_656;HRSCAF=1079	000038F|arrow|arrow	0	4644591	-	0	4644591
ScXIYn4_76;HRSCAF=131	000038F|arrow|arrow	4644591	21565082	-	983620	17904111
ScXIYn4_677;HRSCAF=1100	000040F|arrow|arrow	0	5450067	-	0	5450067
ScXIYn4_678;HRSCAF=1101	000040F|arrow|arrow	5450067	20928717	-	17628019	33106669
ScXIYn4_310;HRSCAF=507	000045F|arrow|arrow	0	9466220	-	0	9466220
ScXIYn4_128;HRSCAF=213	000045F|arrow|arrow	9466220	18906286	+	82192	9522258
ScXIYn4_511;HRSCAF=822	000051F|arrow|arrow	0	18008472	+	0	18008472
ScXIYn4_511;HRSCAF=822	000051F|arrow|arrow	18008472	18162760	+	18066615	18220903
ScXIYn4_657;HRSCAF=1080	000052F|arrow|arrow	0	16697432	+	48215568	64913000
ScXIYn4_596;HRSCAF=973	000052F|arrow|arrow	16697432	18127808	+	0	1430376
ScXIYn4_464;HRSCAF=751	000053F|arrow|arrow	0	1356886	+	0	1356886
ScXIYn4_726;HRSCAF=1149	000053F|arrow|arrow	1356886	18128091	+	0	16771205
ScXIYn4_705;HRSCAF=1128	000059F|arrow|arrow	0	3103061	+	0	3103061
ScXIYn4_704;HRSCAF=1127	000059F|arrow|arrow	3103061	7601748	+	0	4498687
