#See manifest.txt for detailed description of fields.
#Hirise_scaf_id	input_scaf_id	input_start	input_end	strand	hirise_start	hirise_end
ScimKQY_509;HRSCAF=741	ch2007_000037F_ScXIYn4_123	0	21546274	+	24135927	45682201
ScimKQY_509;HRSCAF=741	ch2007_000037F_ScXIYn4_123	21546274	26910504	+	45683201	51047431
ScimKQY_126;HRSCAF=319	ch2158_000212F_ScXIYn4_710	0	16547564	+	37405182	53952746
ScimKQY_126;HRSCAF=319	ch2158_000212F_ScXIYn4_710	16547564	49768598	-	57231171	90452205
ScimKQY_27;HRSCAF=76	ch3028_000020F_ScXIYn4_257	0	14309644	-	19400057	33709701
ScimKQY_27;HRSCAF=76	ch3028_000020F_ScXIYn4_257	14309644	29784039	+	53354816	68829211
ScimKQY_28;HRSCAF=82	ch3122_000124F_ScXIYn4_658	0	6389183	+	75734281	82123464
ScimKQY_508;HRSCAF=740	ch3122_000124F_ScXIYn4_658	6389183	54022504	+	0	47633321
ScimKQY_123;HRSCAF=313	ch3122_000124F_ScXIYn4_658	54022504	61447237	-	5783226	13207959
ScimKQY_127;HRSCAF=328	ch3130_000063F_ScXIYn4_695	0	15836491	-	186192905	202029396
ScimKQY_127;HRSCAF=328	ch3130_000063F_ScXIYn4_695	15836491	104732136	+	97296260	186191905
